name,scores_overall,rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,year
Queen’s University,53.1–55.8,2820,37.5,378,38.0,290,72.3,504,94.0,128,76.0,313,"27,034",25.9,16%,58 : 42,2024
RCSI University of Medicine and Health Sciences,53.1–55.8,2830,32.3,578,36.6,314,81.7,290,76.9,303,91.6,106,"2,703",23.9,67%,0,2024
RMIT University,53.1–55.8,2840,35.5,449,36.2,323,83.2,254,73.2,366,92.8,88,"32,574",24.0,34%,48 : 52,2024
Ruhr University Bochum,53.1–55.8,2850,39.8,315,46.7,171,72.2,506,85.9,196,60.0,584,"37,709",46.7,16%,50 : 50,2024
Sejong University,53.1–55.8,2860,31.4,622,34.5,362,94.0,58,73.8,353,68.6,425,"11,678",18.9,15%,51 : 49,2024
Semmelweis University,53.1–55.8,2870,45.2,200,27.8,520,76.9,398,66.4,518,79.9,257,"9,966",12.8,37%,69 : 31,2024
Simon Fraser University,53.1–55.8,2880,28.7,758,36.7,309,84.2,229,83.1,225,92.9,85,"27,269",26.8,31%,54 : 46,2024
South China University of Technology,53.1–55.8,2890,36.6,408,38.2,282,83.2,255,92.8,138,44.0,990,"40,449",12.6,6%,38 : 62,2024
University of Southern Denmark,53.1–55.8,2900,29.8,700,33.5,391,89.1,137,91.5,150,76.9,299,"18,279",9.9,13%,52 : 48,2024
University of South Florida,53.1–55.8,2910,31.7,605,36.4,318,87.6,159,99.9,35,66.7,453,"40,379",19.0,13%,0,2024
Stony Brook University,53.1–55.8,2920,43.6,229,29.7,482,81.4,295,66.5,517,78.8,270,"25,825",10.5,19%,54 : 46,2024
University of Stuttgart,53.1–55.8,2930,44.8,208,49.5,145,63.1,706,99.6,54,58.9,608,"15,152",25.3,20%,34 : 66,2024
University of Surrey,53.1–55.8,2940,31.3,626,34.5,363,88.0,155,73.0,369,96.8,25,"14,630",16.3,33%,54 : 46,2024
Università della Svizzera italiana,53.1–55.8,2950,34.8,470,26.4,559,84.0,237,88.3,178,98.5,3,"3,714",14.0,67%,46 : 54,2024
Swansea University,53.1–55.8,2960,27.6,839,30.2,468,89.7,131,62.8,599,89.5,132,"18,505",16.8,21%,47 : 53,2024
University of Tasmania,53.1–55.8,2970,31.6,609,38.4,276,82.0,285,70.5,417,90.9,118,"16,894",22.5,31%,60 : 40,2024
Technical University of Darmstadt,53.1–55.8,2980,42.4,256,48.1,158,62.6,718,99.8,44,65.4,476,"15,882",37.0,19%,33 : 67,2024
TU Wien,53.1–55.8,2990,43.8,228,44.1,199,57.6,830,96.2,101,86.7,173,"11,373",19.0,31%,32 : 68,2024
Virginia Polytechnic Institute and State University,53.1–55.8,3000,42.5,253,39.4,257,78.8,349,76.7,306,65.4,477,"37,225",18.6,13%,44 : 56,2024
Vita-Salute San Raffaele University,53.1–55.8,3010,34.6,475,26.9,545,98.3,10,66.8,510,49.8,808,"4,087",13.9,5%,62 : 38,2024
Xi’an Jiaotong University,53.1–55.8,3020,46.9,176,48.0,159,70.0,558,98.3,86,37.8,1207,"45,764",14.7,7%,35 : 65,2024
Beihang University,51.1–53.0,3030,42.9,240,43.5,204,68.6,591,94.7,121,34.5,1333,"32,854",12.3,4%,0,2024
University of Bremen,51.1–53.0,3040,39.8,313,39.0,261,68.8,584,67.2,493,65.0,483,"12,263",19.5,13%,53 : 47,2024
University at Buffalo,51.1–53.0,3050,39.9,309,34.1,375,76.1,411,74.8,339,71.4,386,"27,086",17.2,12%,46 : 54,2024
Catholic University of the Sacred Heart,51.1–53.0,3060,35.2,455,30.0,472,89.4,134,74.5,343,52.3,730,"28,830",39.1,7%,71 : 29,2024
"China Medical University, Taiwan",51.1–53.0,3070,27.3,859,32.8,402,92.4,86,89.9,166,49.7,809,"7,110",14.7,7%,57 : 43,2024
Copenhagen Business School,51.1–53.0,3080,21.1,1292,32.3,411,92.1,90,43.8,908,91.5,107,"16,785",27.5,23%,48 : 52,2024
Dalhousie University,51.1–53.0,3090,30.8,647,31.6,427,78.9,345,71.7,391,89.1,134,"17,314",14.7,27%,54 : 46,2024
Drexel University,51.1–53.0,3100,44.1,215,26.0,570,79.6,328,75.6,322,62.2,538,"16,910",11.0,15%,51 : 49,2024
University of Dundee,51.1–53.0,3110,26.7,890,32.1,415,84.9,211,83.0,226,91.1,114,"14,145",18.1,25%,65 : 35,2024
East China Normal University,51.1–53.0,3120,42.7,248,35.1,346,76.3,408,66.3,520,56.4,654,"28,787",14.1,8%,64 : 36,2024
University of Essex,51.1–53.0,3130,30.0,684,31.8,419,81.0,299,57.7,689,97.4,16,"15,540",16.0,41%,54 : 46,2024
Flinders University,51.1–53.0,3140,29.2,733,35.4,337,78.4,353,71.0,406,88.9,138,"17,422",29.4,33%,66 : 34,2024
University of Galway,51.1–53.0,3150,32.9,545,33.8,383,76.7,401,83.0,227,77.6,285,"15,734",26.1,16%,59 : 41,2024
Université Grenoble Alpes,51.1–53.0,3160,42.2,259,37.9,293,66.9,624,69.1,452,71.6,380,"51,244",18.4,17%,53 : 47,2024
Hanyang University,51.1–53.0,3170,45.4,199,40.4,245,62.0,735,99.4,65,66.5,456,"19,344",13.2,21%,0,2024
Hebrew University of Jerusalem,51.1–53.0,3180,46.4,183,36.3,320,68.9,581,71.0,407,46.8,896,"19,267",8.9,5%,58 : 42,2024
Hong Kong Baptist University,51.1–53.0,3190,34.0,492,28.9,498,77.2,390,69.6,440,97.8,10,"7,460",10.2,55%,65 : 35,2024
University of Innsbruck,51.1–53.0,3200,34.4,480,33.1,401,70.3,553,79.6,269,94.7,54,"15,315",23.7,48%,55 : 45,2024
University of Kiel,51.1–53.0,3210,33.3,530,33.3,397,81.6,291,63.0,587,62.9,519,"29,463",23.9,8%,54 : 46,2024
Kyushu University,51.1–53.0,3220,55.0,100,47.5,161,51.2,989,98.4,82,48.8,835,"18,220",7.7,13%,28 : 72,2024
University of Liège,51.1–53.0,3230,33.5,520,38.7,268,72.7,491,95.5,114,73.6,356,"23,545",29.2,20%,58 : 42,2024
Montpellier University,51.1–53.0,3240,38.3,355,35.6,331,74.7,446,68.1,479,68.5,426,"40,734",20.5,15%,55 : 45,2024
University of Navarra,51.1–53.0,3250,35.6,441,30.4,460,82.3,282,79.1,275,74.4,339,"11,969",14.3,26%,54 : 46,2024
Northwestern Polytechnical University,51.1–53.0,3260,37.4,382,40.6,241,74.7,447,86.7,189,48.4,855,"36,797",14.5,4%,25 : 75,2024
Norwegian University of Science and Technology,51.1–53.0,3270,36.0,426,38.4,274,74.7,448,67.8,484,66.2,461,"37,865",15.0,9%,49 : 51,2024
Oregon Health and Science University,51.1–53.0,3280,39.1,332,21.3,755,91.7,98,86.8,188,34.6,1332,"2,984",0.9,3%,68 : 32,2024
University of Otago,51.1–53.0,3290,35.6,442,35.1,347,75.8,424,68.8,459,81.8,226,"19,350",20.6,16%,61 : 39,2024
University of Pavia,51.1–53.0,3300,37.6,375,32.3,412,82.7,267,80.4,259,50.4,793,"17,701",31.5,9%,54 : 46,2024
University of Rome II – Tor Vergata,51.1–53.0,3310,39.9,311,33.5,390,74.3,458,77.5,296,66.9,448,"18,480",24.0,20%,58 : 42,2024
"Royal Holloway, University of London",51.1–53.0,3320,31.6,608,29.3,489,79.0,344,63.3,581,94.6,58,"11,290",16.1,31%,55 : 45,2024
"St George’s, University of London",51.1–53.0,3330,23.5,1113,25.8,580,93.5,66,66.8,509,79.5,260,"3,725",13.1,18%,66 : 34,2024
Sharif University of Technology,51.1–53.0,3340,39.1,337,37.4,301,78.3,359,86.2,193,37.0,1241,"9,389",21.8,2%,26 : 74,2024
University of South Australia,51.1–53.0,3350,25.0,1007,36.8,307,82.5,273,98.3,85,83.5,203,"22,822",30.2,17%,60 : 40,2024
Southeast University,51.1–53.0,3360,39.9,312,46.3,176,68.4,596,90.4,162,47.6,875,"39,637",12.4,4%,36 : 64,2024
Stellenbosch University,51.1–53.0,3370,33.8,504,39.5,254,76.9,399,89.8,169,59.9,586,"25,140",25.7,7%,56 : 44,2024
University of Strathclyde,51.1–53.0,3380,32.4,576,35.5,335,71.2,532,75.5,327,91.9,101,"20,400",16.3,25%,51 : 49,2024
Swedish University of Agricultural Sciences,51.1–53.0,3390,34.7,472,34.9,352,78.8,348,85.4,203,54.4,685,"4,437",4.7,8%,71 : 29,2024
Tampere University,51.1–53.0,3400,30.6,663,38.4,275,80.9,304,93.1,136,49.8,807,"16,236",20.7,7%,55 : 45,2024
University of Tartu,51.1–53.0,3410,32.8,554,31.8,422,86.5,184,64.1,566,60.7,571,"9,694",9.0,12%,68 : 32,2024
Universiti Teknologi Petronas,51.1–53.0,3420,33.8,506,37.8,296,77.7,378,67.9,483,77.8,281,"4,570",13.1,12%,37 : 63,2024
The University of Tennessee-Knoxville,51.1–53.0,3430,38.0,362,31.6,429,84.5,224,72.9,373,56.1,659,"28,377",17.0,3%,0,2024
University of Turku,51.1–53.0,3440,31.6,610,34.9,353,83.3,251,67.0,499,52.5,726,"13,528",15.7,6%,63 : 37,2024
United Arab Emirates University,51.1–53.0,3450,27.0,878,34.5,364,83.2,258,77.4,299,89.1,136,"8,147",12.6,18%,74 : 26,2024
University College Cork,51.1–53.0,3460,28.3,792,31.6,430,82.4,279,75.9,319,77.2,295,"18,567",21.1,16%,59 : 41,2024
Washington State University,51.1–53.0,3470,36.9,394,34.5,365,74.8,442,82.9,230,60.3,578,"28,896",18.8,6%,55 : 45,2024
Western Sydney University,51.1–53.0,3480,29.5,724,31.7,424,87.7,158,51.5,784,87.2,163,"35,590",41.8,21%,59 : 41,2024
University of the Witwatersrand,51.1–53.0,3490,33.0,544,42.9,213,72.4,502,81.3,249,76.3,309,"27,765",24.4,7%,57 : 43,2024
Xiamen University,51.1–53.0,3500,38.0,363,33.5,393,83.7,244,72.1,386,38.4,1175,"44,715",15.1,2%,0,2024
Aix-Marseille University,49.1–51.0,3510,43.0,238,27.2,532,71.9,508,63.2,582,76.3,307,"72,946",17.3,14%,60 : 40,2024
Amirkabir University of Technology,49.1–51.0,3520,34.8,468,33.7,385,77.0,394,85.1,207,38.8,1157,"9,859",20.2,3%,35 : 65,2024
Autonomous University of Madrid,49.1–51.0,3530,38.7,343,29.9,473,76.3,407,65.4,539,60.9,565,"30,227",13.4,15%,62 : 38,2024
University of Bayreuth,49.1–51.0,3540,38.0,361,40.8,236,65.0,671,83.4,222,67.7,434,"8,944",24.5,14%,46 : 54,2024
University of Bordeaux,49.1–51.0,3550,37.2,384,29.9,474,72.5,494,66.7,511,66.6,454,"52,643",21.7,14%,60 : 40,2024
Brunel University London,49.1–51.0,3560,25.2,986,26.5,555,80.7,307,60.1,642,98.4,4,"14,130",17.9,40%,47 : 53,2024
University of Campinas,49.1–51.0,3570,50.0,133,45.5,185,54.0,913,65.5,537,40.4,1104,"32,252",18.9,3%,46 : 54,2024
University of Canberra,49.1–51.0,3580,24.1,1073,31.6,426,82.4,275,40.8,959,88.3,145,"11,299",34.4,23%,56 : 44,2024
Chongqing University,49.1–51.0,3590,32.8,552,38.2,278,75.9,419,79.6,268,42.0,1050,"42,607",20.1,2%,0,2024
"City, University of London",49.1–51.0,3600,27.4,848,30.9,446,78.6,351,61.8,616,95.5,38,"16,080",19.5,45%,58 : 42,2024
University of Colorado Denver/Anschutz Medical Campus,49.1–51.0,3610,33.4,522,23.7,666,93.7,64,73.4,358,36.9,1247,"20,208",4.5,7%,58 : 42,2024
University of Connecticut,49.1–51.0,3620,41.2,274,30.2,465,72.8,486,68.7,462,64.6,492,"28,128",13.1,11%,53 : 47,2024
Daegu Gyeongbuk Institute of Science and Technology (DGIST),49.1–51.0,3630,48.8,144,38.9,263,64.8,677,78.1,288,34.5,1335,742,6.3,4%,36 : 64,2024
Edith Cowan University,49.1–51.0,3640,23.7,1099,26.2,562,86.9,175,69.2,450,87.6,155,"17,965",29.8,24%,62 : 38,2024
University of Electronic Science and Technology of China,49.1–51.0,3650,34.8,469,35.2,344,80.9,302,85.5,201,33.9,1359,"37,498",15.7,3%,30 : 70,2024
University of Florence,49.1–51.0,3660,35.5,445,34.4,367,78.6,352,72.9,370,51.9,740,"40,535",24.0,10%,56 : 44,2024
Free University of Bozen-Bolzano,49.1–51.0,3670,31.8,595,22.8,693,85.5,198,45.6,885,78.6,275,"4,244",10.7,14%,67 : 33,2024
University of Georgia,49.1–51.0,3680,41.2,276,40.5,243,68.2,598,69.8,435,43.9,991,"37,565",15.7,6%,58 : 42,2024
Hasselt University,49.1–51.0,3690,33.5,519,38.1,283,69.1,577,83.9,219,71.6,381,"5,749",30.9,14%,50 : 50,2024
Heriot-Watt University,49.1–51.0,3700,34.3,482,33.4,395,65.2,670,75.1,336,94.8,52,"9,735",18.2,36%,39 : 61,2024
Hokkaido University,49.1–51.0,3710,51.2,123,44.0,201,47.4,1071,95.1,117,47.5,876,"17,659",8.2,10%,29 : 71,2024
Hunan University,49.1–51.0,3720,28.9,748,30.4,458,92.0,92,75.2,333,32.5,1400,"41,481",17.8,2%,47 : 53,2024
Illinois Institute of Technology,49.1–51.0,3730,42.6,251,26.9,543,67.8,606,91.5,149,73.2,359,"6,107",12.2,36%,37 : 63,2024
Iowa State University,49.1–51.0,3740,39.5,323,34.5,361,69.3,571,84.8,211,46.0,929,"28,591",17.1,8%,46 : 54,2024
James Cook University,49.1–51.0,3750,28.3,787,30.9,447,79.6,330,58.9,664,77.7,283,"9,759",17.3,9%,66 : 34,2024
Justus Liebig University Giessen,49.1–51.0,3760,34.4,481,38.0,288,72.5,497,70.5,416,62.7,528,"27,184",42.4,11%,64 : 36,2024
University of Kansas,49.1–51.0,3770,42.7,249,25.9,574,73.1,478,79.9,264,58.6,611,"23,410",9.5,7%,53 : 47,2024
Koç University,49.1–51.0,3780,31.8,596,40.5,244,68.9,582,91.9,146,57.4,635,"6,427",19.5,9%,49 : 51,2024
Leibniz University Hannover,49.1–51.0,3790,38.3,354,41.5,227,62.1,730,81.6,242,58.2,619,"19,807",39.5,15%,44 : 56,2024
University of Manitoba,49.1–51.0,3800,31.8,598,34.7,356,76.3,409,62.3,608,59.1,601,"30,316",30.0,21%,54 : 46,2024
Middle East Technical University,49.1–51.0,3810,44.2,213,43.1,209,53.6,929,81.9,239,56.0,660,"16,182",21.2,12%,49 : 51,2024
University of Milan,49.1–51.0,3820,31.3,623,31.8,420,87.3,169,69.5,443,47.2,884,"50,995",21.8,7%,60 : 40,2024
University of Milan-Bicocca,49.1–51.0,3830,27.8,817,26.0,571,91.1,106,66.7,512,47.0,890,"29,943",29.8,5%,62 : 38,2024
Murdoch University,49.1–51.0,3840,23.2,1138,29.6,483,81.4,293,67.2,495,94.2,62,"14,816",34.0,38%,62 : 38,2024
University of Naples Federico II,49.1–51.0,3850,36.7,407,28.3,510,86.9,176,72.0,387,35.4,1305,"56,127",19.5,2%,56 : 44,2024
Peter the Great St Petersburg Polytechnic University,49.1–51.0,3860,43.4,235,31.3,434,67.4,613,61.6,622,65.2,482,"16,400",10.0,33%,42 : 58,2024
Sabancı University,49.1–51.0,3870,31.7,603,37.9,294,69.5,568,90.2,164,66.6,455,"3,847",20.5,11%,38 : 62,2024
University of St Gallen,49.1–51.0,3880,33.8,503,21.0,770,81.4,294,66.6,515,93.6,71,"8,799",12.9,33%,36 : 64,2024
University of Saskatchewan,49.1–51.0,3890,39.0,339,35.1,348,62.9,710,95.8,110,78.9,265,"17,924",18.1,21%,56 : 44,2024
University of Sharjah,49.1–51.0,3900,20.7,1325,25.7,586,93.8,62,29.0,1202,98.8,1,"12,848",18.9,51%,67 : 33,2024
Shenzhen University,49.1–51.0,3910,27.8,820,34.3,371,85.3,205,57.9,683,42.4,1036,"35,736",14.0,1%,49 : 51,2024
Southern Medical University,49.1–51.0,3920,44.1,217,36.7,310,74.8,441,56.4,712,30.4,1485,"20,555",10.7,6%,0,2024
University of Southern Queensland,49.1–51.0,3930,28.4,783,25.9,575,88.0,154,46.9,866,81.8,227,"11,650",24.8,15%,63 : 37,2024
Technion Israel Institute of Technology,49.1–51.0,3940,37.5,380,34.0,380,66.9,625,68.1,481,71.8,377,"15,934",22.7,13%,40 : 60,2024
Temple University,49.1–51.0,3950,40.7,289,24.3,641,85.2,208,70.4,422,43.6,1000,"34,069",12.3,6%,56 : 44,2024
University of Texas at Dallas,49.1–51.0,3960,29.5,723,28.3,511,84.9,213,72.3,380,62.7,531,"24,679",21.6,15%,44 : 56,2024
University of Trento,49.1–51.0,3970,29.3,732,34.8,355,80.5,312,65.2,543,61.1,561,"14,100",18.4,7%,51 : 49,2024
University of Tsukuba,49.1–51.0,3980,51.8,119,42.6,219,52.3,956,72.9,374,51.3,764,"15,506",12.1,16%,38 : 62,2024
University of Victoria,49.1–51.0,3990,27.4,858,31.2,440,80.1,321,63.8,572,88.9,139,"21,486",23.9,21%,56 : 44,2024
York University,49.1–51.0,4000,28.2,800,32.4,410,78.3,360,69.6,442,79.5,261,"44,038",29.1,28%,55 : 45,2024
"Asia University, Taiwan",45.4–49.0,4010,18.3,1523,36.6,311,80.6,308,63.2,583,49.2,821,"11,431",29.5,4%,63 : 37,2024
Aston University,45.4–49.0,4020,22.2,1205,26.5,554,82.5,270,64.1,563,95.2,44,"12,950",19.0,25%,48 : 52,2024
Auckland University of Technology,45.4–49.0,4030,23.8,1088,21.2,757,84.0,236,40.8,958,92.4,94,"18,592",17.7,46%,60 : 40,2024
Australian Catholic University,45.4–49.0,4040,16.8,1636,25.7,582,97.0,28,21.9,1440,80.7,244,"23,843",38.4,14%,76 : 24,2024
Bangor University,45.4–49.0,4050,27.6,829,25.3,594,72.7,489,64.3,559,88.2,147,"8,130",14.8,23%,61 : 39,2024
Bauman Moscow State Technical University,45.4–49.0,4060,71.7,38,43.9,203,22.1,1635,51.7,779,59.3,596,"16,061",6.6,18%,42 : 58,2024
Bond University,45.4–49.0,4070,28.2,795,23.1,681,82.5,271,23.1,1397,82.3,217,"3,170",11.2,34%,54 : 46,2024
Bournemouth University,45.4–49.0,4080,23.2,1132,21.1,762,86.7,178,38.4,1013,89.0,137,"14,260",19.1,21%,53 : 47,2024
University of Brescia,45.4–49.0,4090,24.4,1048,19.2,854,89.3,135,62.4,604,44.9,962,"14,615",24.2,6%,47 : 53,2024
Universiti Brunei Darussalam,45.4–49.0,4100,28.5,770,28.9,497,76.0,416,22.9,1403,75.7,317,"3,503",11.3,14%,66 : 34,2024
"University of California, Merced",45.4–49.0,4110,26.2,927,23.9,657,86.8,177,48.1,837,55.0,673,"9,170",19.6,9%,51 : 49,2024
Campus Bio-Medico University of Rome,45.4–49.0,4120,32.6,564,29.0,494,76.9,396,48.8,825,31.0,1464,"2,210",18.4,1%,62 : 38,2024
University of Catania,45.4–49.0,4130,32.4,572,22.7,697,81.2,297,59.0,662,34.9,1321,"26,717",22.2,3%,57 : 43,2024
Centrale Nantes,45.4–49.0,4140,40.7,285,33.4,394,50.6,1003,81.1,250,87.8,152,"1,678",14.8,39%,25 : 75,2024
University of Central Florida,45.4–49.0,4150,28.5,771,34.4,366,74.7,444,78.3,285,39.9,1118,"65,269",39.1,4%,57 : 43,2024
Charles Darwin University,45.4–49.0,4160,24.8,1016,32.5,408,73.9,465,36.3,1065,81.6,230,"7,313",33.6,27%,71 : 29,2024
Charles University,45.4–49.0,4170,38.8,341,33.1,399,61.9,738,60.1,643,64.7,490,"51,728",13.4,23%,62 : 38,2024
Chung-Ang University,45.4–49.0,4180,37.4,381,38.4,272,52.0,960,98.3,83,62.6,532,"18,193",22.4,23%,0,2024
Claude Bernard University Lyon 1,45.4–49.0,4190,40.3,298,27.1,537,65.0,672,71.3,400,63.7,506,"27,444",12.7,14%,55 : 45,2024
University of Coimbra,45.4–49.0,4200,31.4,619,38.2,279,59.9,785,78.0,290,54.3,687,"21,767",18.4,15%,57 : 43,2024
"Colorado State University, Fort Collins",45.4–49.0,4210,33.4,523,31.7,423,74.4,454,69.4,446,46.6,909,"27,786",16.2,5%,56 : 44,2024
Constructor University Bremen,45.4–49.0,4220,36.7,403,35.9,326,48.9,1042,84.7,212,93.5,72,"1,534",22.1,83%,42 : 58,2024
Dalian University of Technology,45.4–49.0,4230,37.0,388,35.0,349,68.1,599,86.8,187,40.2,1110,"37,389",14.5,3%,0,2024
University of Delaware,45.4–49.0,4240,32.7,557,31.8,418,72.5,495,80.9,252,62.3,535,"21,545",16.1,11%,57 : 43,2024
Dublin City University,45.4–49.0,4250,24.5,1041,35.2,343,77.1,392,62.8,595,73.9,351,"14,325",26.1,12%,58 : 42,2024
École des Ponts ParisTech,45.4–49.0,4260,43.9,222,30.3,461,55.7,867,87.2,185,82.7,211,"1,992",8.7,39%,31 : 69,2024
Federal University of Toulouse Midi-Pyrénées,45.4–49.0,4270,29.4,726,30.2,466,65.7,656,70.2,427,72.6,368,"111,949",22.9,15%,56 : 44,2024
Florida International University,45.4–49.0,4280,31.0,640,29.3,487,74.2,461,61.5,623,51.0,771,"35,006",22.4,9%,60 : 40,2024
University of Fribourg,45.4–49.0,4290,36.8,395,33.2,398,63.2,704,54.7,731,83.1,207,"6,961",16.0,15%,64 : 36,2024
University of Genoa,45.4–49.0,4300,36.1,422,28.3,509,78.0,366,73.4,359,47.3,879,"21,470",16.5,7%,58 : 42,2024
George Mason University,45.4–49.0,4310,29.7,704,27.5,527,82.7,265,62.0,613,59.9,585,"32,959",18.3,11%,53 : 47,2024
Georgia State University,45.4–49.0,4320,35.0,460,25.4,591,72.6,492,65.2,542,57.1,639,"30,821",15.7,7%,61 : 39,2024
"Goldsmiths, University of London",45.4–49.0,4330,29.2,734,25.2,600,75.4,431,28.9,1203,81.0,239,"8,780",14.5,38%,66 : 34,2024
University of Greifswald,45.4–49.0,4340,35.5,446,29.9,475,73.8,468,60.2,641,57.1,640,"10,366",21.1,8%,59 : 41,2024
University of Guelph,45.4–49.0,4350,32.6,565,36.2,322,66.2,645,78.1,289,64.5,494,"22,936",27.3,10%,59 : 41,2024
Gwangju Institute of Science and Technology (GIST),45.4–49.0,4360,48.5,152,39.6,253,50.3,1016,99.9,31,43.9,992,"1,795",9.5,7%,26 : 74,2024
HSE University,45.4–49.0,4370,34.4,479,44.0,202,57.3,838,56.5,708,51.4,758,"34,656",18.6,12%,0,2024
University of Hull,45.4–49.0,4380,27.4,849,24.3,637,74.3,457,59.8,649,85.4,185,"12,305",18.0,21%,56 : 44,2024
Imam Mohammad Ibn Saud Islamic University,45.4–49.0,4390,43.4,233,23.4,672,65.8,655,21.5,1461,69.8,410,"42,107",10.5,3%,39 : 61,2024
IMT Atlantique,45.4–49.0,4400,47.5,167,36.5,316,43.6,1150,90.5,161,84.8,191,"1,683",9.4,37%,25 : 75,2024
Institut Agro,45.4–49.0,4410,43.8,224,32.6,404,60.2,770,59.6,654,60.3,577,"3,117",10.8,13%,60 : 40,2024
Iran University of Science and Technology,45.4–49.0,4420,33.6,514,37.4,300,75.2,435,73.9,349,24.3,1729,"14,679",32.7,1%,35 : 65,2024
University of Johannesburg,45.4–49.0,4430,28.6,767,36.3,321,66.8,628,44.8,898,81.0,240,"31,721",26.5,13%,55 : 45,2024
Johannes Kepler University of Linz,45.4–49.0,4440,36.8,396,35.4,338,58.2,818,98.7,76,71.7,379,"6,803",20.8,16%,50 : 50,2024
University of Jyväskylä,45.4–49.0,4450,31.4,620,34.1,376,78.2,361,53.0,752,49.7,811,"10,702",13.8,3%,62 : 38,2024
Universiti Kebangsaan Malaysia,45.4–49.0,4460,45.7,194,27.8,517,58.7,805,47.4,856,74.9,330,"16,764",10.1,18%,57 : 43,2024
University of Kent,45.4–49.0,4470,27.6,833,29.0,496,77.6,379,51.9,775,93.5,73,"16,515",18.0,27%,53 : 47,2024
University of Kentucky,45.4–49.0,4480,41.3,272,30.8,448,71.8,515,70.9,410,46.8,897,"27,540",11.3,3%,58 : 42,2024
King Saud University,45.4–49.0,4490,31.4,621,19.9,818,84.5,222,48.7,829,77.2,293,"50,906",11.9,6%,43 : 57,2024
University of Limerick,45.4–49.0,4500,27.1,870,32.6,406,64.1,689,75.9,318,76.1,311,"14,640",27.1,15%,50 : 50,2024
Lincoln University,45.4–49.0,4510,33.9,495,26.7,549,68.4,595,49.7,813,92.0,99,"2,562",14.5,33%,52 : 48,2024
University of Lisbon,45.4–49.0,4520,29.6,714,38.0,289,69.9,559,64.7,555,56.9,645,"49,847",18.0,16%,53 : 47,2024
University of Marburg,45.4–49.0,4530,36.7,406,31.4,432,68.8,587,63.1,585,62.3,537,"24,644",32.7,14%,56 : 44,2024
Maynooth University,45.4–49.0,4540,21.1,1295,30.7,449,77.0,395,58.3,671,74.8,332,"11,885",28.5,12%,56 : 44,2024
Missouri University of Science and Technology,45.4–49.0,4550,33.2,537,28.7,501,69.6,566,88.1,179,72.4,372,"7,271",21.6,9%,24 : 76,2024
Mizzou - University of Missouri,45.4–49.0,4560,40.6,291,26.0,572,66.0,649,69.9,433,53.6,700,"25,993",12.3,3%,55 : 45,2024
University of Modena and Reggio Emilia,45.4–49.0,4570,32.0,591,24.6,624,79.6,331,80.3,260,40.2,1112,"21,836",27.0,5%,54 : 46,2024
National Research Nuclear University MEPhI,45.4–49.0,4580,53.1,110,41.0,235,42.4,1177,57.5,693,78.8,267,"4,993",9.2,28%,39 : 61,2024
National Taiwan University of Science and Technology (Taiwan Tech),45.4–49.0,4590,33.2,538,36.9,306,63.8,695,93.2,134,56.4,656,"9,221",18.5,19%,30 : 70,2024
National Tsing Hua University,45.4–49.0,4600,38.9,340,42.3,223,58.4,813,99.5,61,46.2,922,"13,979",16.2,12%,42 : 58,2024
National Yang Ming Chiao Tung University,45.4–49.0,4610,44.0,219,44.3,197,52.9,944,99.9,34,41.4,1069,"16,944",14.6,9%,36 : 64,2024
University of Nebraska-Lincoln,45.4–49.0,4620,33.8,501,31.1,441,71.5,524,67.0,498,65.9,465,"23,920",16.6,9%,49 : 51,2024
University of Neuchâtel,45.4–49.0,4630,31.8,599,26.4,558,67.2,619,53.5,743,85.9,176,"4,379",11.8,21%,61 : 39,2024
New Jersey Institute of Technology,45.4–49.0,4640,27.4,854,23.5,669,69.2,576,69.8,437,93.6,70,"9,981",14.5,24%,27 : 73,2024
University of Oregon,45.4–49.0,4650,31.1,637,30.5,455,79.4,336,70.2,431,43.2,1012,"21,185",13.0,6%,55 : 45,2024
University of Passau,45.4–49.0,4660,31.5,616,36.5,317,66.5,637,62.2,611,58.2,620,"8,536",58.2,13%,60 : 40,2024
University of Pisa,45.4–49.0,4670,31.1,638,31.2,438,80.5,311,68.7,463,43.2,1013,"31,567",20.9,5%,52 : 48,2024
University of Plymouth,45.4–49.0,4680,24.4,1051,21.9,736,79.5,332,66.1,525,80.6,249,"15,675",17.1,16%,59 : 41,2024
Polytechnic University of Turin,45.4–49.0,4690,29.7,706,30.2,467,73.5,473,85.8,199,53.2,706,"30,497",31.9,15%,30 : 70,2024
Pontificia Universidad Católica de Chile,45.4–49.0,4700,29.7,707,34.3,369,67.6,610,84.7,213,57.9,624,"30,448",15.0,3%,0,2024
University of Porto,45.4–49.0,4710,31.3,624,35.4,341,71.1,534,66.3,521,57.9,625,"36,386",16.9,17%,54 : 46,2024
University of Portsmouth,45.4–49.0,4720,20.0,1377,20.0,814,84.5,223,40.6,966,94.7,56,"23,625",16.8,29%,47 : 53,2024
Prince Sultan University (PSU),45.4–49.0,4730,18.4,1520,20.5,788,87.0,173,37.8,1024,85.8,178,"5,982",17.4,11%,56 : 44,2024
Quaid-i-Azam University,45.4–49.0,4740,29.7,708,24.1,648,84.2,228,22.9,1404,53.7,698,"11,386",20.3,1%,45 : 55,2024
